UKPRN,PROVIDER_NAME,ALIAS_TEXT,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,COUNTY,POSTCODE,WEBSITE_ADDRESS,,Latitude,Longitude,Easting,Northing
10007823,EDGE HILL UNIVERSITY,,,,ST. HELENS ROAD,,ORMSKIRK,LANCASHIRE,L39 4QP,www.edgehill.ac.uk,,53.559895,-2.873374,342245,407385
10007825,GUILDHALL SCHOOL OF MUSIC & DRAMA,,,,SILK STREET BARBICAN,,LONDON,,EC2Y 8DT,www.gsmd.ac.uk,,51.5195,-0.092433,532448,181789
10007832,NEWMAN UNIVERSITY,,,,GENNERS LANE,,BIRMINGHAM,,B32 3NT,www.newman.ac.uk,,52.434125,-1.995029,400435,281794
10007833,GLYNDWR UNIVERSITY,,,PLAS COCH,MOLD ROAD,,WREXHAM,CLWYD,LL11 2AW,www.glyndwr.ac.uk,,53.052968,-3.00564,332690,351107
10007835,ROYAL ACADEMY OF MUSIC,,,,MARYLEBONE ROAD,,LONDON,,NW1 5HT,www.ram.ac.uk,,51.523612,-0.152156,528293,182140
10007837,ROYAL NORTHERN COLLEGE OF MUSIC,,,124,OXFORD ROAD,,MANCHESTER,,M13 9RD,www.rncm.ac.uk,,53.46857,-2.236948,384368,396896
10007838,ROYAL WELSH COLLEGE OF MUSIC AND DRAMA LIMITED,,,,NORTH ROAD,,CARDIFF,,CF10 3ER,www.rwcmd.ac.uk,,51.48599,-3.183909,317892,177002
10007842,THE UNIVERSITY OF CUMBRIA,,,,FUSEHILL STREET,,CARLISLE,,CA1 2HH,www.cumbria.ac.uk,,54.891122,-2.921479,340992,555542
10007843,"ST MARY'S UNIVERSITY, TWICKENHAM",,,,WALDEGRAVE ROAD,,TWICKENHAM,,TW1 4SX,www.smuc.ac.uk,,51.437439,-0.335313,515805,172252
10007846,SWANSEA METROPOLITAN UNIVERSITY,,,MOUNT PLEASANT CAMPUS,MOUNT PLEASANT,,SWANSEA,WEST GLAMORGAN,SA1 6ED,www.smu.ac.uk,,51.62466,-3.949429,265153,193560
10007848,UNIVERSITY OF CHESTER,,,,PARKGATE ROAD,,CHESTER,,CH1 4BJ,www.chester.ac.uk,,53.198646,-2.898062,340104,367217
10007849,UNIVERSITY OF ABERTAY DUNDEE,,,KYDD BUILDING 40,BELL STREET,,DUNDEE,,DD1 1HG,www.abertay.ac.uk,,56.463158,-2.974378,340057,730538
10007850,UNIVERSITY OF BATH (THE),University Of Bath,,,,CLAVERTON DOWN,BATH,,BA2 7AY,www.bath.ac.uk,,51.380445,-2.330673,377083,164651
10007851,UNIVERSITY OF DERBY,,,,KEDLESTON ROAD,,DERBY,,DE22 1GB,www.derby.ac.uk,,52.93853,-1.496681,433924,338022
10007852,UNIVERSITY OF DUNDEE,,,,PERTH ROAD,,DUNDEE,,DD1 4HN,www.dundee.ac.uk,,56.457214,-2.978477,339795,729880
10007854,CARDIFF METROPOLITAN UNIVERSITY,,PO BOX 377,,,LLANDAFF,CARDIFF,,CF5 2SG,www.cardiffmet.ac.uk,,51.48356,-3.223609,315131,176777
10007855,SWANSEA UNIVERSITY,,,,SINGLETON PARK,,SWANSEA,WEST GLAMORGAN,SA2 8PP,www.swan.ac.uk,,51.609624,-3.980631,262948,191946
10007856,PRIFYSGOL ABERYSTWYTH,Aberystwyth University,PO BOX 2,,,,ABERYSTWYTH,DYFED,SY23 2AX,www.aber.ac.uk,,52.403479,-4.043585,261072,280350
10007857,BANGOR UNIVERSITY,,,,COLLEGE ROAD,,BANGOR,GWYNEDD,LL57 2DG,www.bangor.ac.uk,,53.229226,-4.129499,257949,372359
10007858,UNIVERSITY OF WALES: TRINITY SAINT DAVID,,,,COLLEGE ROAD,,CARMARTHEN,,SA31 3EP,www.trinitysaintdavid.ac.uk,,51.858377,-4.3287,239732,220318
10008010,STRANMILLIS UNIVERSITY COLLEGE,,,,STRANMILLIS ROAD,,BELFAST,,BT9 5DY,www.stran.ac.uk,,54.573831,-5.933214,145894,526961
10008017,TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE LTD,Trinity Laban Conservatoire Of Music and Dance,,KING CHARLES COURT,OLD ROYAL NAVAL COLLEGE KING WILLIAM WALK,,LONDON,,SE10 9JF,www.trinitylaban.ac.uk,,51.483596,-0.007197,538470,177954
10008026,ST MARY'S UNIVERSITY COLLEGE,,,191,FALLS ROAD,,BELFAST,,BT12 6FE,www.stmarys-belfast.ac.uk,,54.593168,-5.961324,144200,529213
10008574,UNIVERSITY OF WALES PRIFYSGOL CYMRU,,,,KING EDWARD VII AVENUE,,CARDIFF,,CF10 3NS,www.wales.ac.uk,,51.485543,-3.181031,318091,176949
10008640,FALMOUTH UNIVERSITY,,,Woodlane Campus,Woodlane,,Falmouth,Cornwall,TR11 4RH,www.falmouth.ac.uk,,50.149189,-5.070856,180711,32196
10008816,NORTHERN SCHOOL OF CONTEMPORARY DANCE,,,98,CHAPELTOWN ROAD,,LEEDS,,LS7 4BH,www.nscd.ac.uk,,53.813232,-1.533287,430828,435317
10014001,UNIVERSITY CAMPUS SUFFOLK LTD,,,WATERFRONT BUILDING 19-21,NEPTUNE QUAY,,IPSWICH,,IP4 1QJ,www.ucs.ac.uk,,52.05242,1.163359,616989,244060
10034449,LEEDS COLLEGE OF MUSIC,,,3,QUARRY HILL,,LEEDS,,LS2 7PD,www.lcm.ac.uk,,53.798233,-1.531252,430973,433649
10040812,HARPER ADAMS UNIVERSITY,,,,,Edgmond,Newport,,TF10 8NB,www.harper-adams.ac.uk,,52.780008,-2.425381,371404,320354
10003958,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,,,,,,,,L3 5QA,,,53.408563,-2.969135,335673,390632
